Company,Product,Aspect,Sentiment Difference,Year,Analysis,Breakdown
Corgi HomePlan,Gas Products,Appointment Scheduling,-1,2024,"In 2024, British Gas's performance in the 'Gas Products' category for appointment scheduling has been rated unfavorably compared to Corgi HomePlan, resulting in a sentiment difference of -1.00, with negative experiences significantly impacting customer perceptions at British Gas. Customers frequently reported long wait times for appointments and substantial delays due to poor internal communication and inefficiencies in service delivery. For instance, one customer detailed a scenario where an engineer was scheduled to fix their boiler but arrived without the necessary parts and without prior notification, leading to extended periods without heating.

Conversely, Corgi HomePlan has received favorable mentions regarding their promptness. Customers reported receiving same-day service, and in some cases, engineers arrived within 30 minutes of logging an issue. For example, one customer lauded Corgi for having an engineer who arrived and completed repairs efficiently within a short time frame, demonstrating a sharp contrast to British Gas’s response time issues. However, Corgi HomePlan is not",
Corgi HomePlan,Gas Products,Customer Service,-9.9,2024,"In 2024, British Gas scored lower than Corgi HomePlan in terms of customer service, with a sentiment difference of -9.90. The analysis of customer reviews shows that British Gas struggles primarily with communication and service consistency. Customers frequently express frustration over long wait times to connect with agents, repeated requests for information, and confusing procedures, all of which undermine the user experience. For example, several reviews highlight instances where engineers failed to arrive as scheduled or could not effectively resolve issues after multiple visits, leading to prolonged outages during cold months: “I was without heating and hot water for 48 hours...despite my wife and I being over 75 years of age and regarded as priority cases.""

Conversely, Corgi HomePlan generally receives praise for quicker response times and more consistent service levels, even during peak seasons. One review lauds a Corgi engineer’s commitment, stating, “Laurence...came at 7 pm after a long busy day...and managed to",
Corgi HomePlan,Gas Products,Response Speed,-16.8,2024,"In 2024, an analysis of customer reviews for British Gas and Corgi HomePlan reveals a significant disparity in response speed regarding gas products, with British Gas scoring notably lower in this area. British Gas customers have frequently noted delays in technician dispatch and a lack of efficient resolutions, leading to dissatisfaction, particularly in urgent situations. For example, one customer reported being without heating and hot water for over 48 hours during winter, highlighting, “despite being over 75 years of age and regarded as priority cases, my heating and hot water were delayed.” In contrast, Corgi HomePlan customers have commended the swift response times they have experienced, often stating that engineers arrive within hours of reporting an issue. One reviewer mentioned a remarkable instance where an engineer was at their home just 30 minutes after their initial contact, saying “amazing response time. 30 minutes after getting in touch we had an engineer working on our boiler.”

The negative sentiment surrounding British Gas considerably outweighs the positive",
Corgi HomePlan,Gas Products,Engineer Experience,-1.7,2024,"In 2024, reviews indicate that British Gas has a sentiment score of -1.70 compared to Corgi HomePlan in the 'Gas Products' category regarding engineer experience. This suggests that British Gas customers express more dissatisfaction compared to those of Corgi HomePlan, driving a perception of inferior service. Key trends contributing to this sentiment score reveal that British Gas experiences significant issues with its response times, customer service communication, and the perceived quality and competency of their engineers. Customers frequently report delays and inefficiencies with responses from the central call center, as well as an inconsistent quality of engineering visits.

For instance, in the British Gas reviews, a customer complained about having a leak after boiler installation and described the service as “crap,"" emphasizing a lack of responsiveness to urgent heating issues during a critical time. Another review captures a moment of frustration where skilled engineers failed to satisfactorily fix recurring issues despite multiple visits. In contrast, Corgi HomePlan reviews highlight a more positive engineer experience,",
Corgi HomePlan,Gas Products,Solution Quality,-8.4,2024,"In 2024, British Gas demonstrates a wide variance in solution quality compared to Corgi HomePlan, reflected in a sentiment difference of -8.40. British Gas reviews highlight a pervasive issue with customer service and response times, with numerous accounts of delays, poor communication, and unresolved technical issues. Notably, a recurring theme in British Gas reviews describes frustration with the call center, with one customer stating, ""Every time I call I have to go through different security questions...they can't even find my policy."" This indicates a systemic breakdown in customer relationship management, leading to dissatisfaction.

On the other hand, Corgi HomePlan reviews exhibit more positive sentiment regarding their engineers and overall service delivery. Corgi customers frequently praise their engineers for professionalism and promptness. A Corgi customer expressed satisfaction writing, ""An engineer arrived as they said and was very professional, knowledgeable and helpful."" While both companies share similar complaints regarding delays and miscommunication, Corgi HomePlan's reviews generally",
Corgi HomePlan,Gas Products,Value For Money,-18,2024,"In the 2024 comparison of British Gas and Corgi HomePlan, British Gas's performance in the 'Value For Money' category is notably weaker, as indicated by a sentiment difference of -18.00. This suggests that customers perceive Corgi HomePlan as providing better value for their investments, primarily due to British Gas's rising costs coupled with inadequate service quality. 

Key trends driving the negative sentiment towards British Gas include complaints about high service call costs and perceived upselling tactics that leave customers feeling pressured. Reviews highlight a frustrating price structure: ""I pay over £300 a year for this service but still have to pay £60 if I need assistance,"" illustrating a belief that even loyal customers do not receive value proportionate to their expenses. In contrast, Corgi HomePlan’s users regularly praise its responsive service and customer support, often noting quick repair times. For instance, a review stated, ""An engineer called on the same day I made the booking and said as he was",
Corgi HomePlan,Plumbing & Drains,Appointment Scheduling,-46.9,2024,"In the competitive landscape of the Plumbing & Drains category for 2024, British Gas displays a clear performance gap compared to Corgi HomePlan in appointment scheduling, with a sentiment difference of -46.90. This disparity stems primarily from widespread dissatisfaction with British Gas’s customer service, particularly concerning the timeliness and efficiency of their appointment scheduling and follow-up processes. Many British Gas customers report extensive delays in receiving service appointments, with some citing instances where engineers either failed to show up or were extremely late, compounded by poor communication throughout the process.

For example, one reviewer detailed a frustrating ordeal with British Gas when the engineer was scheduled to address a toilet emergency, only for multiple appointment reschedules to occur without notification. They ultimately resorted to hiring a local plumber after losing faith in the service. Conversely, Corgi HomePlan customers frequently commend the company's promptness and effective communication. One Corgi customer noted, ""Called in the morning to report a leak, and the engineer arrived the",
Corgi HomePlan,Plumbing & Drains,Customer Service,-47.1,2024,"When analyzing customer reviews for British Gas and Corgi HomePlan in the category of 'Plumbing & Drains,' it's clear that British Gas garners a sentiment difference of -47.10, suggesting that customers feel significantly less satisfied with British Gas's service compared to Corgi HomePlan. The key trend driving this sentiment appears to center around the unreliability and lack of effective communication from British Gas, particularly in its collaboration with Dyno-Rod—the contractor they often deploy for plumbing issues.

A considerable number of British Gas reviews express frustrations such as missed appointments and delayed responses. Customers noted that they were often passed between departments, leaving them frustrated and unresolved. For instance, one customer detailed their ordeal: ""After waiting all day, the engineer did not turn up or make contact. I called again only to learn that the appointment had been rescheduled without my knowledge."" In contrast, Corgi HomePlan customers generally describe a more straightforward interaction where appointments are kept, and communications are clear",
Corgi HomePlan,Plumbing & Drains,Response Speed,-76.9,2024,"In 2024, the sentiment analysis between British Gas and Corgi HomePlan specifically in the product category 'Plumbing & Drains' indicates that British Gas is performing better in terms of response speed, with a sentiment difference of -76.90. This significant score suggests that British Gas's customers have a relatively more favorable experience when it comes to the promptness of service when plumbing issues arise. 

A closer examination of the reviews reveals several key trends driving this sentiment difference. British Gas customers noted instances of efficient dispatch and timely arrival of plumbers, which is a stark contrast to Corgi HomePlan's frequent mentions of delays and poor communication. For example, a British Gas customer reported, ""Called dump rod out using the home care scheme... Dump rod came out and discovered the blockage...,"" highlighting responsiveness. In contrast, Corgi HomePlan reviews often reflect frustration with long wait times and unfulfilled appointment commitments, as one customer shared, “I reported a leak...  I have",
Corgi HomePlan,Plumbing & Drains,Engineer Experience,-58.2,2024,"Analyzing the reviews for British Gas and Corgi HomePlan within the ‘Plumbing & Drains’ category in 2024 reveals a stark disparity in engineer experience sentiments, with British Gas displaying a notably better sentiment score of +58.20. Key trends from the reviews indicate that while British Gas encounters difficulties primarily due to its subcontractor Dyno Rod, Corgi HomePlan struggles with prolonged service delays and inconsistent communication.

Customers frequently reported dissatisfaction with the level of service provided by British Gas, particularly due to dispatching issues and miscommunication regarding technician capabilities. For example, one reviewer noted that a British Gas plumber insisted he could not work on a burst pipe near a macerator unit, leading to frustration and additional costs for hiring a local plumber. In contrast, Corgi HomePlan's reviews highlighted efficiency issues, where despite relatively quick dispatch times, problems with parts availability and redundancies in engineer visits were common. One Corgi customer expressed disappointment over unresponsive customer service after",
Corgi HomePlan,Plumbing & Drains,Solution Quality,-61,2024,"In the 2024 Plumbing & Drains product category, British Gas demonstrates a significantly lower sentiment score compared to Corgi HomePlan, reflecting a sharp disparity in solution quality. The sentiment difference is reported at -61.00, indicating that consumers generally perceive British Gas’s service as inferior. A prevalent theme emerging from the reviews for British Gas is dissatisfaction with the technical abilities of the engineers sent to address plumbing issues, as well as inadequate customer service. In contrast, Corgi HomePlan is being recognized for quicker response times and a more organized service approach.

For instance, British Gas customers frequently cite repeated failures to resolve issues despite multiple technician visits, as seen in one review where a leaking pipe incident took over seven weeks, resulting in significant damage and multiple complaints towards their service. A user described the experience, stating, “Dyno plumbers were sent multiple times but failed to identify the leak, causing damage and inconveniences.” In stark contrast, Corgi HomePlan reviews highlight prompt service,",
Corgi HomePlan,Plumbing & Drains,Value For Money,-48.9,2024,"In 2024, British Gas finds itself lagging significantly behind Corgi HomePlan in the 'Plumbing & Drains' category, particularly concerning 'Value For Money.' Reports indicate a staggering sentiment difference of -48.90 in customer reviews, suggesting that British Gas is perceived as providing poor value compared to its competitor. 

Key reasons driving dissatisfaction stem from recurring themes in British Gas's reviews. Customers frequently express frustration with unresponsive customer service, unclear communication, and a lack of resolution for their plumbing issues. For instance, one review mentions, ""After being with British Gas for 10 years, I called them for a leak but was passed around so many departments that I lost count. Eventually, no one showed up!"" This highlights not only their operational inefficiency but also their failure to deliver timely solutions, which erodes perceived value for the customer. In contrast, Corgi provides relatively quicker response times and efficient repairs, as noted by a customer who shared, ""Called in the",
Corgi HomePlan,Appliance Cover,Appointment Scheduling,,2024,"In comparing British Gas and Corgi HomePlan in the product category of 'Appliance Cover', specifically regarding the aspect of 'Appointment Scheduling' in 2024, the review analysis indicates a pronounced difference in customer sentiment toward the two service providers. British Gas has garnered a significant number of negative reviews regarding delays and poor communication when scheduling appointments for repairs. Customers frequently express frustration over missed engineer appointments and long waits for service. For example, one customer lamented, ""Despite 4 confirmed bookings, they have not turned up... this is appalling service."" In contrast, Corgi HomePlan receives commendations for prompt service and effective scheduling, with one reviewer noting, ""I got someone to come the very next day.""

The key trends driving this disparity can be traced to the management of engineer availability and communication channels. British Gas struggles with a backlog and seems to lack adequate personnel to meet customer demands, leading to reported delays that exacerbate customer dissatisfaction. Customers have highlighted the consistent issues of engineers",
Corgi HomePlan,Appliance Cover,Customer Service,,2024,"In the customer service category for 'Appliance Cover,' Corgi HomePlan significantly outperforms British Gas in 2024. Analyzing the reviews reveals a stark contrast in the customer experiences reported by consumers. While Corgi HomePlan customers consistently describe prompt, efficient, and friendly service, British Gas customers express frustration with delayed responses, poor communication, and issues with technician availability. Notably, Corgi users experienced swift resolutions; many reviews highlight fast service and repairs occurring within days, which contrasts sharply with British Gas customers who faced waits of two weeks or more for appointments or parts.

For instance, while one Corgi HomePlan customer praised the ""swift attention to problem"" and described the technician as ""courteous and friendly,"" a British Gas review details a customer who had to wait for an engineer who ""never turned up"" despite multiple confirmed bookings. Another British Gas customer mentioned that they had to ""chase up several times"" and ultimately resolved their issue independently after being",
Corgi HomePlan,Appliance Cover,Response Speed,,2024,"In 2024, British Gas received a significant number of negative reviews regarding their response speed for appliance cover compared to Corgi HomePlan. British Gas customers frequently cited delays in engineer dispatch and lack of effective communication, leading to frustration and disappointment. In contrast, Corgi HomePlan's reviews indicated a consistent pattern of timely responses and efficient service, with many customers noting that their issues were resolved swiftly after making a claim. Corgi HomePlan stood out for maintaining effective communication throughout the repair process.

For instance, a British Gas customer expressed their discontent about a two-week wait for a replacement part, saying, ""The engineer was great, but British Gas customer services... it was hard luck"" following their experience during a broken fridge-freezer incident. Additionally, another British Gas follower reported, ""Engineers never turn up... this is an appalling service. No communication whatsoever and at a premium price,"" highlighting the significant issues around reliability and responsiveness. Conversely, a Corgi Home",
Corgi HomePlan,Appliance Cover,Engineer Experience,,2024,"In 2024, reviews indicate that Corgi HomePlan outperforms British Gas in the 'Engineer Experience' category, particularly in terms of promptness, communication, and overall satisfaction with service. While British Gas has a significant number of reviews that highlight both satisfactory engineering work and unacceptable delays, Corgi HomePlan consistently receives praise for swift and effective responses to appliance issues. The key trend driving this difference may relate to the smaller size and more streamlined operations of Corgi, allowing for better management of engineer schedules and customer interactions.

British Gas customers frequently report frustrating delays and lack of communication, particularly in urgent situations. For instance, one user expressed their discontent after waiting over two weeks for an engineer, ultimately lamenting, ""I have been without a washing machine for close to 4 weeks... it's unacceptable that we have been left without a machine for so long."" In stark contrast, Corgi HomePlan users often emphasize the timely arrival of engineers and effective repairs, with one",
Corgi HomePlan,Appliance Cover,Solution Quality,,2024,"In comparing British Gas and Corgi HomePlan in the product category of ‘Appliance Cover’ for the aspect of ‘Solution Quality’ in 2024, it becomes evident that Corgi HomePlan consistently outperforms British Gas based on customer reviews. The feedback for Corgi shows a trend of prompt service, efficient problem resolution, and effective communication, which stands in stark contrast to the frustrations reported by British Gas customers regarding delays, inadequate communication, and unresolved issues.

Customers of Corgi HomePlan often mention their satisfaction with the speed and reliability of the service, as seen in multiple reviews. For example, one review states, ""The response to my claim was so prompt that it took me by surprise!"" Another reviewer highlights, ""Great experience very thorough highly recommended."" This highlights a key trend where customers appreciate not only the quick service but also the professionalism and thoroughness of the engineers. In contrast, British Gas reviews reveal persistent complaints about long wait times for repairs and insufficient follow",
Corgi HomePlan,Appliance Cover,Value For Money,,2024,"When analyzing customer reviews for the appliance cover services from British Gas and Corgi HomePlan, it becomes evident that Corgi HomePlan provides superior value for money in 2024. Corgi HomePlan customers frequently highlight the promptness and efficiency of repairs and communications. In contrast, British Gas customers often express frustration over delays, miscommunication, and inadequate compensation for their long-term commitment.

A significant trend driving Corgi HomePlan's positive reception lies in the responsiveness of their service. Many reviews emphasize quick problem resolution and supportive customer service. For instance, one user noted, ""The response to my claim was so prompt that it took me by surprise!"" This efficiency contrasts sharply with British Gas customers who report waiting for extended periods for repairs and insufficient follow-up communication. One reviewer lamented, ""I had to chase up several times...false promises made by both companies that have not been met,"" underscoring the satisfaction gap. Additionally, another British Gas user pointed out being offered only",
Corgi HomePlan,Home Electrical,Appointment Scheduling,-68.2,2024,"In the comparison of appointment scheduling between British Gas and Corgi HomePlan for electrical services in 2024, Corgi HomePlan outperforms British Gas significantly, evidenced by a sentiment difference of -68.20. Corgi HomePlan is praised for its quick response time and efficient scheduling, which has led to a higher satisfaction rate among customers. They report prompt arrivals, often within the same day, which reflects a solid commitment to customer service and flexibility in handling emergencies. For instance, one customer noted that an electrician arrived just 20 minutes after their call and resolved the issue within 30 minutes, showcasing Corgi's immediate availability and responsiveness.

Conversely, British Gas's reviews reveal notable frustrations regarding appointment scheduling which often result in delayed service. Many customers express dissatisfaction with long wait times for appointments. A frequently mentioned issue is last-minute rescheduling without notification, as one user described the ordeal of waiting for an electrician who was a no-show due to a scheduling error. The",
Corgi HomePlan,Home Electrical,Customer Service,-65,2024,"In 2024, **British Gas** shows a significantly lower customer sentiment (-65.00) in comparison to **Corgi HomePlan**, indicating that Corgi provides a superior customer service experience in the home electrical category. This difference is predominantly driven by the swift response and efficiency of Corgi’s service, which allows for quicker problem resolution. Corgi's customers frequently highlight prompt arrivals, clear communication, and effective resolutions to electrical issues. In contrast, British Gas faces criticism for delays, missed appointments, and inadequate responses, leading to more frustrated customers.

Several British Gas reviews reveal systemic issues in their service framework. A customer noted, ""I had an electrical problem... I called British Gas... after 5 hours, I received a phone call to say no-one would attend."" Such delays, particularly for urgent issues like electrical faults, contribute directly to the sentiment score, showcasing a trend of dissatisfaction due to unfulfilled service commitments. On the other hand, Corgi customers report",
Corgi HomePlan,Home Electrical,Response Speed,-57.7,2024,"In 2024, British Gas demonstrates a significantly slower response speed in the home electrical service category when compared to Corgi HomePlan, reflected in a negative sentiment score of -57.70. Customers frequently express frustration with British Gas’s inconsistent follow-up and delayed resolutions, particularly in emergency situations. The decentralized approach of Corgi HomePlan, utilizing smaller independent electrical contractors, allows them to offer quicker appointments and better responsiveness, often addressing urgent issues within 24 hours. This contrasts starkly with British Gas, where customers report extended wait times and vague communication about appointment status.

For instance, one British Gas customer lamented, “It took a call to get an engineer out for my broken electric system, but the earliest online booking was two days away, and there was no option for same-day service.” Another review described an ongoing failure to resolve an electrical problem that left a customer without power for days due to back-and-forth scheduling miscommunications. Meanwhile, Corgi HomePlan customers often",
Corgi HomePlan,Home Electrical,Engineer Experience,-47.7,2024,"In 2024, British Gas and Corgi HomePlan present contrasting experiences in the 'Home Electrical' product category, particularly regarding engineer performance. Data from reviews indicates that British Gas has a significant negative sentiment difference of -47.70 compared to Corgi HomePlan, suggesting that customers perceive British Gas engineers to be less effective and responsive. Key trends influencing this sentiment include higher instances of delayed appointments, poor communication, and unresolved issues following visits by British Gas engineers. 

For instance, one British Gas customer lamented, ""Called him back... said need to rebook another part and visit. Problem not resolved sadly."" This reflects a pattern of visiting engineers failing to fully address problems, leading to customer frustration. In contrast, Corgi HomePlan customers frequently report satisfaction, with one stating, ""Electrician that attended was fantastic, efficient and explained everything,"" which highlights the positive impact of effective communication and problem-solving from Corgi's engineers.

**Key Takeaway:** British Gas should",
Corgi HomePlan,Home Electrical,Solution Quality,-58.2,2024,"In 2024, British Gas significantly lags behind Corgi HomePlan in 'Solution Quality' for home electrical services, as evidenced by the sentiment difference of -58.20. While both companies encounter a variety of reviews, British Gas garners many more negative experiences that highlight inefficiencies in their service delivery, especially regarding customer communication and problem resolution. Customers of British Gas frequently report long wait times for appointments, miscommunication regarding scheduled visits, and unresolved issues even after multiple engineer visits. This inconsistency in service leads to frustration and dissatisfaction among users.

For instance, a British Gas customer articulated, ""I called British Gas and explained... no engineers available on a Sunday! This is meant to be an emergency service. Useless.” Similarly, another review pointed out that despite being a long-time customer, when an urgent electrical issue arose, the service response was slow, emphasizing that ""an electrical fault took multiple calls and notifications to finally get someone assigned."" In contrast, Corgi Home",
Corgi HomePlan,Home Electrical,Value For Money,-20.5,2024,"In the 2024 value-for-money analysis between British Gas and Corgi HomePlan in the 'Home Electrical' category, Corgi HomePlan emerges as the better performer with a sentiment difference of -20.50, indicating that customer perceptions lean negatively towards British Gas. Reviews of Corgi HomePlan frequently highlight the quick response times and efficiency of their electricians, as noted in an example where a customer complained of a sudden power failure and cited that the electrician arrived within 20 minutes, resolving the issue promptly. Many reviewers expressed satisfaction with the clear communication and thoroughness provided by Corgi’s service team.

In contrast, British Gas reviews are often marred by complaints about responsiveness and service consistency. Numerous customers reported frustration due to long wait times for appointments, with one referencing a situation where they reported a power issue but had to wait multiple days for an electrician to arrive. There is also a consistent theme of dissatisfaction with customer service, with customers indicating that despite paying for extended coverage through",
